"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.30469319351494,0.982,0.06,0,"0","PLVAP"
0,3.8992898058157,0.968,0.059,0,"0","RNASE1"
0,5.62479497839705,0.959,0.052,0,"0","CCL14"
0,4.17214824598358,0.982,0.08,0,"0","VWF"
0,6.46687962793548,0.923,0.021,0,"0","ACKR1"
0,3.50614970247203,0.955,0.078,0,"0","EMCN"
0,3.59819344845611,0.996,0.122,0,"0","PECAM1"
0,3.25396776092779,0.952,0.081,0,"0","ECSCR"
0,3.18009007606647,0.951,0.124,0,"0","ADGRL4"
0,2.8787275587575,0.895,0.093,0,"0","MCTP1"
0,3.05096696390333,0.956,0.154,0,"0","EGFL7"
0,3.35285352903683,0.875,0.079,0,"0","CLEC14A"
0,3.62284712980761,0.858,0.071,0,"0","GIMAP7"
0,3.22301713685792,0.854,0.077,0,"0","SOX18"
0,3.57677610291396,0.83,0.058,0,"0","CD93"
0,2.91766466732148,0.879,0.109,0,"0","ESAM"
0,3.9321225475373,0.841,0.082,0,"0","TSPAN7"
0,3.08524550818403,0.864,0.106,0,"0","BCAM"
0,3.01856615795855,0.847,0.091,0,"0","ITGA6"
0,2.98673386511756,0.81,0.066,0,"0","CYYR1"
0,3.01223709577702,0.799,0.074,0,"0","DIPK2B"
0,3.5089048774373,0.781,0.063,0,"0","GIMAP4"
0,2.74587244437471,0.841,0.128,0,"0","ERG"
0,2.77602620071319,0.787,0.075,0,"0","CDH5"
0,3.78421410849076,0.807,0.1,0,"0","RAMP3"
0,3.81257964365573,0.754,0.051,0,"0","NOSTRIN"
0,3.66357937747248,0.82,0.123,0,"0","IL33"
0,3.07176831352055,0.951,0.255,0,"0","FABP5"
0,3.73508131417286,0.746,0.051,0,"0","MMRN2"
0,2.81500612864646,0.759,0.065,0,"0","PTPRB"
0,1.88165275126198,0.979,0.291,0,"0","A2M"
0,2.70179096126108,0.819,0.142,0,"0","PKP4"
0,4.23923014261646,0.702,0.027,0,"0","SLCO2A1"
0,2.56162295273503,0.802,0.133,0,"0","ARHGDIB"
0,2.72593133206901,0.713,0.05,0,"0","FLT1"
0,3.42674251470939,0.743,0.083,0,"0","ENTPD1"
0,3.19703466560653,0.758,0.103,0,"0","FAM241A"
0,3.11500275650236,0.981,0.334,0,"0","AQP1"
0,2.8767967551839,0.743,0.097,0,"0","LMO2"
0,2.95314215362802,0.794,0.155,0,"0","ETS2"
0,2.7139281914324,0.806,0.173,0,"0","MGST2"
0,3.56814503747364,0.696,0.067,0,"0","MEOX1"
0,2.66047607771842,0.699,0.071,0,"0","TIE1"
0,2.94283059754716,0.666,0.039,0,"0","MMRN1"
0,3.28319282288809,0.716,0.089,0,"0","SYNGR2"
0,2.95407753470653,0.79,0.164,0,"0","SNCG"
0,3.57966326133375,0.856,0.231,0,"0","DUSP23"
0,2.60181555937397,0.945,0.324,0,"0","TM4SF1"
0,3.17662553048716,0.854,0.25,0,"0","ID1"
0,2.47199153650845,0.688,0.086,0,"0","PREX2"
0,3.65159441044004,0.652,0.054,0,"0","ITGB4"
0,2.83147575806236,0.682,0.085,0,"0","GMFG"
0,2.19629249630297,0.894,0.299,0,"0","POSTN"
0,2.2457923545278,0.754,0.16,0,"0","RALGAPA2"
0,1.60422301102061,0.795,0.206,0,"0","MAGI1"
0,2.60410180988702,0.921,0.337,0,"0","CALCRL"
0,2.88090831287499,0.657,0.079,0,"0","S1PR1"
0,3.23261188295888,0.615,0.038,0,"0","MYRIP"
0,2.16183957059831,0.93,0.354,0,"0","CD34"
0,3.26029361464416,0.686,0.111,0,"0","NRN1"
0,2.73923354725062,0.953,0.378,0,"0","NPDC1"
0,2.54195131107315,0.644,0.07,0,"0","SHANK3"
0,3.65253592828916,0.652,0.08,0,"0","MALL"
0,2.43782096265885,0.738,0.169,0,"0","CMIP"
0,5.36600866967228,0.58,0.015,0,"0","SELP"
0,2.92228175882674,0.653,0.093,0,"0","NUAK1"
0,2.2111284724559,0.71,0.15,0,"0","FLI1"
0,1.88515950671997,0.705,0.146,0,"0","PRKCH"
0,2.26363653266753,0.953,0.394,0,"0","RAMP2"
0,2.78419822753925,0.747,0.19,0,"0","PIM3"
